IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,ISR,Israel,Year,2019,true,Sex,Female,FMLE,Cause,Chronic obstructive pulmonary disease,ENVCAUSE118,,,,,,,1124,,,346.8,,2337,1124 [346.8 – 2337],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,1128,,,438.6,,2143,1128 [438.6 – 2143],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,113213,,,69470,,154055,113 213 [69 470 – 154 055],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,true,Sex,Female,FMLE,Cause,Stroke,ENVCAUSE114,,,,,,,113.9,,,33.54,,218.2,113.9 [33.54 – 218.2],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2019,true,Sex,Male,MLE,Cause,Ischaemic heart disease,ENVCAUSE113,,,,,,,1130,,,0,,2147,1130 [0 – 2147],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1131,,,571.6,,1716,1131 [571.6 – 1716],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,true,Sex,Both sexes,BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,1133,,,466.3,,2234,1133 [466.3 – 2234],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,true,Sex,Both sexes,BTSX,Cause,Total,ENVCAUSE000,,,,,,,1134,,,0,,2424,1134 [0 – 2424],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2019,true,Sex,Female,FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE068,,,,,,,1138,,,539.5,,1994,1138 [539.5 – 1994],,,EN,2022-08-26T07:00:00.000Z
AIR_45,Ambient air pollution attributable YLLs,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,true,Sex,Both sexes,BTSX,Cause,Stroke,ENVCAUSE114,,,,,,,114094,,,59107,,172433,114 094 [59 107 – 172 433],,,EN,2022-08-26T07:00:00.000Z
