"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",20.929,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",19.194,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",18.865,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",18.334,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.808,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",16.886,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.919,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",17.166,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",16.965,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",16.065,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",14.339,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",14.558,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",13.083,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",13.351,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",13.617,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",10.866,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",10.488,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",11.056,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.185,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",9.302,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",10.288,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",9.873,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",9.785,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",8.806,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",8.079,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",7.646,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.206,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.353,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.17,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.484,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.099,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.49,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",5.719,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",5.68,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",5.334,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",5.675,
"FIN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",5.638,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",18.15,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",16.877,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",15.939,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",14.768,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",14.861,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",14.78,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.529,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.448,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",11.509,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.232,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.439,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",11.387,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",11.492,
"FRA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",11.367,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",20.769,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",18.865,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",16.606,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.24,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",16.254,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",15.741,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.952,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.716,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.374,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.858,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.899,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.007,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.048,
"DEU","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",11.928,
